state_name,percentage
West Virginia,19.60
Arkansas,19.20
Kentucky,18.40
Mississippi,17.80
Oklahoma,17.80
Alabama,16.90
Louisiana,16.50
Maine,16.40
Tennessee,16.10
South Carolina,15.20
Oregon,15.10
Ohio,15
Montana,14.90
Rhode Island,14.90
Delaware,14.80
Missouri,14.70
Michigan,14.70
Indiana,14.60
Pennsylvania,14.50
Idaho,14.50
Florida,14.20
North Carolina,14.10
New Mexico,14.10
Kansas,14.10
Arizona,13.90
Wyoming,13.70
Vermont,13.60
Washington,13.60
Georgia,13.50
U.S.,13.40
Nevada,13.40
New Hampshire,13.40
Iowa,13
Virginia,12.60
Massachusetts,12.50
Connecticut,12.30
New York,12.30
Illinois,12.20
Texas,12.20
Alaska,12.20
South Dakota,12.10
Hawaii,12.10
Wisconsin,12.10
Maryland,11.60
Minnesota,11.50
Nebraska,11.50
California,11.30
New Jersey,11.30
Colorado,11.20
North Dakota,11.10
District of Columbia,10.50
Utah,10.50
